Serial,Count,TYPE,X,Y
1,1,Person,-90.3993969,38.70307012
2,1,Person,-90.29490885,38.55690345
3,1,Person,-90.22893009,38.79126289
4,1,Person,-90.31833767,38.50366732
5,1,Person,-90.20077955,38.75475402
6,-1,Person,0,0
7,1,Person,0,0
8,1,Person,0,0
9,1,Person,0,0
10,1,Person,0,0
11,1,Person,0,0
12,1,Person,0,0
13,1,Person,0,0
14,1,Person,0,0
15,1,Person,0,0
16,1,Person,0,0
17,1,Person,0,0
18,1,Person,0,0
19,1,Person,0,0
20,1,Person,0,0
21,1,Person,0,0
22,1,Person,-90.46652488,38.77676925
23,1,Person,-90.38379886,38.53279955
24,1,Person,-90.36781548,38.63204423
25,1,Person,-90.35696129,38.71031779
26,1,Person,-90.35663934,38.73551874
27,1,Person,-90.34964108,38.71108587
28,1,Person,-90.34305225,38.8192423
29,1,Person,-90.32564967,38.61210181
30,1,Person,-90.321291,38.633768
31,1,Person,-90.30557466,38.67085757
32,1,Person,-90.30136697,38.8129822
33,1,Person,-90.26628126,38.79373382
34,1,Person,-90.26537273,38.77272832
35,1,Person,-90.26126345,38.73124922
36,1,Person,-90.26070562,38.73367989
37,1,Person,-90.25562265,38.77531243
38,1,Person,-90.24880537,38.72516194
39,1,Person,-90.23547907,38.74931611
40,1,Person,-90.22836825,38.73068042
41,1,Person,-90.22334803,38.76062397
42,1,Person,-90.22088642,38.79435259
43,1,Person,-90.20407478,38.75363729
44,1,Person,-90.2024007,38.7876895
45,1,Person,-90.20204065,38.76550864
46,1,Person,-90.19957431,38.80424723
47,1,Person,-90.19424953,38.78984131
48,1,Person,-90.513743,38.619359
49,1,Person,-90.44729395,38.50585773
50,1,Person,-90.4457595,38.6024013
51,1,Person,-90.35752652,38.48589872
52,1,Person,-90.346111,38.62829
53,1,Person,-90.33977674,38.50622595
54,1,Person,-90.333881,38.614694
55,1,Person,-90.3260668,38.5052465
56,1,Person,-90.31670318,38.70655141
57,1,Person,-90.31515595,38.83110913
58,1,Person,-90.31482411,38.71939901
59,1,Person,-90.29295464,38.71374375
60,1,Person,-90.2720578,38.71123461
61,1,Person,-90.20390924,38.7766715
62,1,Person,-90.20253215,38.78695636
63,1,Person,-90.33630378,38.55222634
64,1,Person,-90.39046781,38.56823272
65,1,Person,-90.45417778,38.66825434
66,1,Person,-90.42764146,38.69214348
67,1,Person,-90.42155169,38.68809536
68,1,Person,-90.42155169,38.68809536
69,1,Person,-90.42155169,38.68809536
70,1,Person,-90.36979922,38.71400438
71,1,Person,-90.36979922,38.71400438
72,1,Person,-90.32631606,38.69823282
73,1,Person,-90.32088978,38.83709333
74,1,Person,-90.32088978,38.83709333
75,1,Person,-90.31216248,38.67511538
76,1,Person,-90.30957045,38.68574846
77,1,Person,-90.30769853,38.69263159
78,1,Person,-90.3056013,38.48317554
79,1,Person,-90.29884754,38.55974847
80,1,Person,-90.29518978,38.73106954
81,1,Person,-90.29059084,38.51406327
82,1,Person,-90.29018663,38.6895707
83,1,Person,-90.28709604,38.7137358
84,1,Person,-90.28709604,38.7137358
85,1,Person,-90.28709604,38.7137358
86,1,Person,-90.28579191,38.71092523
87,1,Person,-90.28401278,38.71344045
88,1,Person,-90.28401278,38.71344045
89,1,Person,-90.28401278,38.71344045
90,1,Person,-90.28401278,38.71344045
91,1,Person,-90.27165847,38.7287987
92,1,Person,-90.26898168,38.72913758
93,1,Person,-90.26705096,38.77095648
94,1,Person,-90.26705096,38.77095648
95,1,Person,-90.26350492,38.77904139
96,1,Person,-90.25958927,38.71066629
97,1,Person,-90.25875787,38.73475879
98,1,Person,-90.25875787,38.73475879
99,1,Person,-90.25875787,38.73475879
100,1,Person,-90.25412227,38.7722988
101,1,Person,-90.25412227,38.7722988
102,1,Person,-90.25359311,38.7375416
103,1,Person,-90.24883753,38.72123404
104,1,Person,-90.24422172,38.72389165
105,1,Person,-90.23767456,38.78259877
106,1,Person,-90.22822033,38.75502492
107,1,Person,-90.2216307,38.75983389
108,1,Person,-90.21922277,38.79068977
109,1,Person,-90.21910196,38.79308866
110,1,Person,-90.21810867,38.77290944
111,1,Person,-90.21747879,38.74262145
112,1,Person,-90.21328528,38.78988249
113,1,Person,-90.21219055,38.80092083
114,1,Person,-90.21203184,38.76017858
115,1,Person,-90.20983626,38.79972606
116,1,Person,-90.20568418,38.78360547
117,1,Person,-90.20568418,38.78360547
118,1,Person,-90.20460107,38.75276819
119,1,Person,-90.20449095,38.78000025
120,1,Person,-90.20401511,38.75784277
121,1,Person,-90.20401511,38.75784277
122,1,Person,-90.20401074,38.74945278
123,1,Person,-90.20315348,38.76589349
124,1,Person,-90.20121366,38.74867168
125,1,Person,-90.20121363,38.74867177
126,1,Person,-90.19087421,38.76231745
127,1,Person,0,0
128,1,Person,0,0
129,1,Person,0,0
130,1,Person,0,0
131,1,Person,-90.359701,38.602246
132,1,Person,-90.31992234,38.68385629
133,1,Person,-90.31513574,38.52377471
134,1,Person,-90.31307285,38.56448469
135,1,Person,-90.26750715,38.81369028
136,1,Person,-90.26750715,38.81369028
137,1,Person,-90.26180259,38.72275493
138,1,Person,-90.26126686,38.71257778
139,1,Person,-90.22619314,38.79031263
140,1,Person,-90.21170004,38.78788786
141,1,Person,-90.21170004,38.78788786
142,1,Person,-90.209162,38.73987188
143,1,Person,-90.18754527,38.76238067
144,1,Person,-90.18754527,38.76238067
145,1,Person,-90.60795312,38.59940631
146,1,Person,-90.58676048,38.67108549
147,1,Person,-90.48272241,38.5123823
148,1,Person,-90.3720171,38.5274345
149,1,Person,-90.34670102,38.56435535
150,1,Person,-90.34012716,38.46615933
151,1,Person,-90.3394751,38.6376694
152,1,Person,-90.3392726,38.51341732
153,1,Person,-90.33076465,38.47050253
154,1,Person,-90.32886177,38.71740458
155,1,Person,-90.32872513,38.49905033
156,1,Person,-90.32270767,38.68012235
157,1,Person,-90.32010553,38.50794263
158,1,Person,-90.31963683,38.56489927
159,1,Person,-90.31667973,38.6815888
160,1,Person,-90.3137034,38.81439432
161,1,Person,-90.30737998,38.51251864
162,1,Person,-90.29212996,38.69715198
163,1,Person,-90.29104126,38.68393182
164,1,Person,-90.28831603,38.53138485
165,1,Person,-90.27217854,38.71522135
166,1,Person,-90.27021275,38.77246541
167,1,Person,-90.26848084,38.77335714
168,1,Person,-90.25695252,38.72114685
169,1,Person,-90.24571312,38.75773235
170,1,Person,-90.24252114,38.75620507
171,1,Person,-90.21637414,38.77557044
172,1,Person,-90.21500181,38.7838726
173,1,Person,-90.20856256,38.79944864
174,1,Person,-90.20582512,38.74558634
175,1,Person,-90.20204065,38.76550864
176,1,Person,0,0
177,1,Person,-90.5911025,38.58987438
178,1,Person,-90.5858347,38.58925915
179,1,Person,-90.58392663,38.66265642
180,1,Person,-90.47768936,38.6865621
181,1,Person,-90.45654189,38.66688653
182,1,Person,-90.44632554,38.56250367
183,1,Person,-90.41102602,38.57021165
184,1,Person,-90.39793745,38.56311596
185,1,Person,-90.363457,38.605431
186,1,Person,-90.35753342,38.73447537
187,1,Person,-90.35206361,38.71130914
188,1,Person,-90.35134981,38.73211686
189,1,Person,-90.34834,38.635777
190,1,Person,-90.346469,38.62712
191,1,Person,-90.34311581,38.71446692
192,1,Person,-90.34263248,38.53814559
193,1,Person,-90.338551,38.648197
194,1,Person,-90.338284,38.648462
195,1,Person,-90.338284,38.648462
196,1,Person,-90.32895581,38.55883096
197,1,Person,-90.322278,38.626214
198,1,Person,-90.31580007,38.46769792
199,1,Person,-90.30641197,38.67525944
200,1,Person,-90.30187955,38.71382871
201,1,Person,-90.29954718,38.70825454
202,1,Person,-90.29826689,38.49898741
203,1,Person,-90.29509401,38.69271178
204,1,Person,-90.29158482,38.6958165
205,1,Person,-90.26372117,38.78101197
206,1,Person,-90.2620475,38.74091937
207,1,Person,-90.25628206,38.75232275
208,1,Person,-90.25250809,38.80313056
209,1,Person,-90.24592737,38.7513091
210,1,Person,-90.23427451,38.73787101
211,1,Person,-90.21490163,38.74993601
212,1,Person,-90.20449904,38.74912795
213,1,Person,-90.20444775,38.74960834
214,1,Person,-90.19978671,38.77029095
215,1,Person,0,0
216,1,Person,0,0
217,1,Person,0,0
218,1,Property,-90.58687416,38.66878262
219,1,Property,-90.58171932,38.59304703
220,1,Property,-90.57297419,38.59305419
221,1,Property,-90.56417246,38.65080624
222,1,Property,-90.52586581,38.65904568
223,1,Property,-90.4958728,38.5654466
224,1,Property,-90.49483996,38.54982428
225,1,Property,-90.49451609,38.55536321
226,1,Property,-90.48668965,38.6256134
227,1,Property,-90.48472772,38.62555558
228,1,Property,-90.47800119,38.68288283
229,1,Property,-90.46313707,38.55053806
230,1,Property,-90.43545615,38.6370416
231,1,Property,-90.40663785,38.58241431
232,1,Property,-90.40496137,38.68170467
233,1,Property,-90.40455056,38.70037369
234,1,Property,-90.40420002,38.68832424
235,1,Property,-90.38639858,38.48322393
236,1,Property,-90.382494,38.676231
237,1,Property,-90.3795349,38.68530172
238,1,Property,-90.36431119,38.5615964
239,1,Property,-90.36092342,38.4985189
240,1,Property,-90.36043659,38.71285507
241,1,Property,-90.3603737,38.71365748
242,1,Property,-90.36001952,38.71263851
243,1,Property,-90.3582366,38.71215651
244,1,Property,-90.35778542,38.48448691
245,1,Property,-90.35753342,38.73447537
246,1,Property,-90.353711,38.60558
247,1,Property,-90.35348766,38.52555619
248,1,Property,-90.35329917,38.5297252
249,1,Property,-90.343122,38.567467
250,1,Property,-90.3387026,38.53587568
251,1,Property,-90.33585435,38.40695845
252,1,Property,-90.33561013,38.55160816
253,1,Property,-90.32851349,38.68997539
254,1,Property,-90.327379,38.612972
255,1,Property,-90.32631606,38.69823282
256,1,Property,-90.32617788,38.82914871
257,1,Property,-90.32134631,38.71514892
258,1,Property,-90.32091115,38.7131822
259,1,Property,-90.32058732,38.73240389
260,1,Property,-90.318302,38.613008
261,1,Property,-90.315588,38.613757
262,1,Property,-90.315455,38.627295
263,1,Property,-90.30988705,38.81647638
264,1,Property,-90.30881043,38.53682438
265,1,Property,-90.30785316,38.81973579
266,1,Property,-90.30726828,38.519433
267,1,Property,-90.30541087,38.56059125
268,1,Property,-90.30488575,38.67327333
269,1,Property,-90.29561936,38.81322113
270,1,Property,-90.29550637,38.50370966
271,1,Property,-90.29328844,38.54648302
272,1,Property,-90.28811842,38.68653894
273,1,Property,-90.28790401,38.7110971
274,1,Property,-90.28698792,38.71474025
275,1,Property,-90.28609657,38.53321962
276,1,Property,-90.28320193,38.53147267
277,1,Property,-90.27967975,38.78058219
278,1,Property,-90.27928451,38.71927691
279,1,Property,-90.27851647,38.52895426
280,1,Property,-90.27841122,38.54836825
281,1,Property,-90.27748927,38.77972167
282,1,Property,-90.27640519,38.74759512
283,1,Property,-90.27625952,38.74694304
284,1,Property,-90.27524775,38.74364709
285,1,Property,-90.27512911,38.74172063
