Count,TYPE,X,Y
1,PROPERTY,-90.72785772,38.5423513
1,PROPERTY,-90.72489395,38.48359715
1,PERSON,-90.72477868,38.54973441
1,PROPERTY,-90.71809185,38.59587579
1,PROPERTY,-90.71576225,38.54888872
1,PROPERTY,-90.71008803,38.49277184
1,PROPERTY,-90.70890578,38.58377608
1,PROPERTY,-90.70890578,38.58377608
1,PROPERTY,-90.70330938,38.48290325
1,PROPERTY,-90.6973951,38.59086211
1,PROPERTY,-90.69637955,38.57633888
1,PROPERTY,-90.69459536,38.58260989
1,PROPERTY,-90.69240335,38.5610442
1,PROPERTY,-90.69162423,38.5610136
1,PROPERTY,-90.6897033,38.53546326
1,PROPERTY,-90.68925847,38.61752246
1,PROPERTY,-90.68580786,38.64285643
1,PROPERTY,-90.68419598,38.49784609
1,PROPERTY,-90.67825023,38.46240034
1,PERSON,-90.67786138,38.55487512
1,PERSON,-90.67140218,38.59823383
1,PERSON,-90.67140218,38.59823383
1,PERSON,-90.67140218,38.59823383
1,PROPERTY,-90.6710842,38.60079599
1,PROPERTY,-90.67106036,38.64175966
1,PROPERTY,-90.67016295,38.58948978
1,PROPERTY,-90.66994905,38.56852014
1,PROPERTY,-90.66817187,38.59264996
1,PROPERTY,-90.666828,38.59073378
1,PROPERTY,-90.66559594,38.63371269
1,PROPERTY,-90.66482895,38.57917115
1,PROPERTY,-90.66107972,38.63886688
1,PROPERTY,-90.65787014,38.64651076
1,PERSON,-90.65776792,38.62041779
1,PROPERTY,-90.65705248,38.52266545
1,PROPERTY,-90.6554352,38.58278203
1,PROPERTY,-90.65381758,38.59777778
1,PROPERTY,-90.65282937,38.61537045
1,PROPERTY,-90.65251192,38.61494669
1,PROPERTY,-90.65233095,38.64702533
1,PROPERTY,-90.65067637,38.59444104
1,PERSON,-90.65050031,38.54368657
1,PROPERTY,-90.64757851,38.61217574
1,PROPERTY,-90.64657524,38.64920085
1,PROPERTY,-90.64558566,38.58997423
1,PROPERTY,-90.64554845,38.52444713
1,PROPERTY,-90.64535021,38.57354219
1,PROPERTY,-90.64535021,38.57354219
1,PROPERTY,-90.64535021,38.57354219
1,PROPERTY,-90.64535021,38.57354219
1,PROPERTY,-90.64535021,38.57354219
1,PROPERTY,-90.64522834,38.53035661
1,PROPERTY,-90.64522834,38.53035661
1,PROPERTY,-90.64473791,38.60143787
1,PROPERTY,-90.64452243,38.52093571
1,PROPERTY,-90.64435926,38.58536813
1,PROPERTY,-90.64335155,38.57708279
1,PROPERTY,-90.64297337,38.58356149
1,PROPERTY,-90.64297337,38.58356149
1,PROPERTY,-90.64295115,38.55629014
1,PROPERTY,-90.64194171,38.52472827
1,PERSON,-90.64085411,38.57828815
1,PROPERTY,-90.64025137,38.58250532
1,PROPERTY,-90.63931021,38.61392585
1,PROPERTY,-90.63906121,38.59289856
1,PROPERTY,-90.63897662,38.58618521
1,PROPERTY,-90.63893657,38.54036082
1,PROPERTY,-90.63876959,38.59700048
1,PROPERTY,-90.63808177,38.61387924
1,PROPERTY,-90.63795159,38.58939973
1,PROPERTY,-90.63787818,38.59873082
1,PROPERTY,-90.63697355,38.58638216
1,PROPERTY,-90.63697355,38.58638216
1,PROPERTY,-90.63668428,38.58647521
1,PROPERTY,-90.63651514,38.57018784
1,PERSON,-90.63642478,38.58740309
1,PERSON,-90.63642478,38.58740309
1,PROPERTY,-90.63639725,38.58656268
1,PROPERTY,-90.63477948,38.58647944
1,PROPERTY,-90.63365426,38.57524046
1,PROPERTY,-90.6335974,38.55705275
1,PROPERTY,-90.63342551,38.58781502
1,PROPERTY,-90.63332083,38.6369316
1,PROPERTY,-90.63264407,38.64471832
1,PROPERTY,-90.63239239,38.54825769
1,PROPERTY,-90.63217639,38.54830265
1,PROPERTY,-90.63217639,38.54830265
1,PROPERTY,-90.63192083,38.5809672
1,PROPERTY,-90.63192083,38.5809672
1,PROPERTY,-90.63192083,38.5809672
1,PROPERTY,-90.63192083,38.5809672
1,PROPERTY,-90.63192083,38.5809672
1,PROPERTY,-90.63192083,38.5809672
1,PROPERTY,-90.63192083,38.5809672
1,PROPERTY,-90.63150931,38.63921094
1,PROPERTY,-90.6304678,38.52848782
1,PROPERTY,-90.63044398,38.59279774
1,PROPERTY,-90.63040643,38.63507381
1,PROPERTY,-90.63035766,38.54695299
1,PERSON,-90.6303211,38.57574892
1,PROPERTY,-90.630162,38.57755689
1,PROPERTY,-90.62983611,38.57439508
1,PROPERTY,-90.62973042,38.58184032
1,PROPERTY,-90.62956799,38.59151812
1,PROPERTY,-90.62925814,38.59199755
1,PROPERTY,-90.62855905,38.56815149
1,PROPERTY,-90.62788576,38.5726971
1,PROPERTY,-90.62757874,38.54675973
1,PROPERTY,-90.62748294,38.57922804
1,PROPERTY,-90.62748294,38.57922804
1,PROPERTY,-90.62748294,38.57922804
1,PROPERTY,-90.62748155,38.58485711
1,PROPERTY,-90.62743079,38.58066287
1,PROPERTY,-90.62743079,38.58066287
1,PROPERTY,-90.62684105,38.58425223
1,PROPERTY,-90.62639385,38.54633482
1,PROPERTY,-90.62634503,38.5875202
