Serial,Count,TYPE,X,Y
1,1,PROPERTY,-90.73278795,38.61171191
2,1,PROPERTY,-90.72707788,38.60557732
3,1,PERSON,-90.72306788,38.53873329
4,1,PROPERTY,-90.71021136,38.49285289
5,1,PROPERTY,-90.71021136,38.49285289
6,1,PROPERTY,-90.70779418,38.48987712
7,1,PROPERTY,-90.70608669,38.58010651
8,1,PROPERTY,-90.70159329,38.48468608
9,1,PROPERTY,-90.70124012,38.52213707
10,1,PROPERTY,-90.69931335,38.64149547
11,1,PROPERTY,-90.69788778,38.50251457
12,1,PERSON,-90.69780303,38.59516383
13,1,PROPERTY,-90.69150542,38.59372993
14,1,PROPERTY,-90.69092398,38.56273135
15,1,PROPERTY,-90.69057024,38.49745089
16,1,PROPERTY,-90.69022244,38.50446503
17,1,PROPERTY,-90.68963228,38.58961201
18,1,PROPERTY,-90.6870584,38.50179198
19,1,PROPERTY,-90.68631215,38.50238922
20,1,PROPERTY,-90.68530988,38.58323189
21,1,PROPERTY,-90.68490052,38.53139933
22,1,PROPERTY,-90.68362183,38.55503447
23,1,PERSON,-90.68334961,38.57562872
24,1,PROPERTY,-90.68327913,38.63021894
25,1,PERSON,-90.68327913,38.63021894
26,1,PROPERTY,-90.6817623,38.59019569
27,1,PROPERTY,-90.68141563,38.51465755
28,1,PROPERTY,-90.68141563,38.51465755
29,1,PROPERTY,-90.68141563,38.51465755
30,1,PROPERTY,-90.68141563,38.51465755
31,1,PROPERTY,-90.68141563,38.51465755
32,1,PROPERTY,-90.68141563,38.51465755
33,1,PROPERTY,-90.68141563,38.51465755
34,1,PROPERTY,-90.68141563,38.51465755
35,1,PROPERTY,-90.68141563,38.51465755
36,1,PROPERTY,-90.68141563,38.51465755
37,1,PROPERTY,-90.68141563,38.51465755
38,1,PROPERTY,-90.68141563,38.51465755
39,1,PROPERTY,-90.68141563,38.51465755
40,1,PROPERTY,-90.68141563,38.51465755
41,1,PROPERTY,-90.68141563,38.51465755
42,1,PROPERTY,-90.68141563,38.51465755
43,1,PROPERTY,-90.68141563,38.51465755
44,1,PROPERTY,-90.68141563,38.51465755
45,1,PROPERTY,-90.68141563,38.51465755
46,1,PROPERTY,-90.6813067,38.5697017
47,1,PROPERTY,-90.6803027,38.55523932
48,1,PROPERTY,-90.67888926,38.50808896
49,1,PERSON,-90.6785145,38.50719619
50,1,PROPERTY,-90.6785145,38.50719619
51,1,PROPERTY,-90.6785145,38.50719619
52,1,PROPERTY,-90.67840823,38.50724942
53,1,PERSON,-90.6776024,38.5062109
54,1,PERSON,-90.6776024,38.5062109
55,1,PERSON,-90.6776024,38.5062109
56,1,PERSON,-90.6776024,38.5062109
57,1,PERSON,-90.67659804,38.50057117
58,1,PERSON,-90.67659804,38.50057117
59,1,PROPERTY,-90.67651372,38.50442926
60,1,PROPERTY,-90.6752864,38.50439979
61,1,PROPERTY,-90.6752864,38.50439979
62,1,PROPERTY,-90.6752864,38.50439979
63,1,PROPERTY,-90.6752864,38.50439979
64,1,PROPERTY,-90.6746777,38.5005276
65,1,PROPERTY,-90.6746777,38.5005276
66,1,PROPERTY,-90.67434087,38.50052278
67,1,PROPERTY,-90.67434087,38.50052278
68,1,PROPERTY,-90.67434087,38.50052278
69,1,PROPERTY,-90.67428909,38.5005761
70,1,PROPERTY,-90.67139498,38.64310029
71,1,PROPERTY,-90.67114553,38.64253223
72,1,PROPERTY,-90.6707213,38.64060976
73,1,PROPERTY,-90.67018928,38.58952032
74,1,PROPERTY,-90.66992629,38.56854329
75,1,PROPERTY,-90.66992629,38.56854329
76,1,PERSON,-90.6697617,38.48165685
77,1,PROPERTY,-90.6673191,38.50597566
78,1,PROPERTY,-90.66713812,38.50705915
79,1,PROPERTY,-90.6653154,38.67228621
80,1,PROPERTY,-90.66529509,38.51445043
81,1,PERSON,-90.66461963,38.50456949
82,1,PROPERTY,-90.66461963,38.50456949
83,1,PROPERTY,-90.66461963,38.50456949
84,1,PROPERTY,-90.66326073,38.50454058
85,1,PROPERTY,-90.66312748,38.67329411
86,1,PERSON,-90.6629638,38.58218759
87,1,PROPERTY,-90.66295661,38.50993417
88,1,PROPERTY,-90.66282234,38.67592146
89,1,PROPERTY,-90.66282234,38.67592146
90,1,PROPERTY,-90.66282234,38.67592146
91,1,PROPERTY,-90.66282234,38.67592146
92,1,PROPERTY,-90.66282234,38.67592146
93,1,PROPERTY,-90.66258106,38.50452696
94,1,PROPERTY,-90.66258106,38.50452696
95,1,PROPERTY,-90.66190138,38.50451333
96,1,PROPERTY,-90.66168672,38.6749173
97,1,PROPERTY,-90.66168672,38.6749173
98,1,PROPERTY,-90.66168672,38.6749173
99,1,PROPERTY,-90.66168672,38.6749173
100,1,PROPERTY,-90.66168672,38.6749173
101,1,PROPERTY,-90.66168672,38.6749173
102,1,PROPERTY,-90.66168672,38.6749173
103,1,PROPERTY,-90.66168672,38.6749173
104,1,PROPERTY,-90.66168672,38.6749173
105,1,PROPERTY,-90.66168672,38.6749173
106,1,PROPERTY,-90.66168672,38.6749173
107,1,PROPERTY,-90.66168672,38.6749173
108,1,PROPERTY,-90.66168672,38.6749173
109,1,PROPERTY,-90.66168672,38.6749173
110,1,PROPERTY,-90.66168672,38.6749173
111,1,PROPERTY,-90.66168672,38.6749173
112,1,PROPERTY,-90.66168672,38.6749173
113,1,PROPERTY,-90.66168672,38.6749173
114,1,PROPERTY,-90.66168672,38.6749173
115,1,PROPERTY,-90.66168672,38.6749173
116,1,PROPERTY,-90.66168672,38.6749173
117,1,PROPERTY,-90.66168672,38.6749173
118,1,PROPERTY,-90.66168672,38.6749173
119,1,PROPERTY,-90.66168672,38.6749173
120,1,PROPERTY,-90.66168672,38.6749173
121,1,PROPERTY,-90.66168672,38.6749173
122,1,PROPERTY,-90.66168672,38.6749173
123,1,PROPERTY,-90.66168672,38.6749173
124,1,PROPERTY,-90.66168672,38.6749173
125,1,PROPERTY,-90.66168672,38.6749173
126,1,PROPERTY,-90.66168672,38.6749173
127,1,PROPERTY,-90.66168672,38.6749173
128,1,PROPERTY,-90.66168672,38.6749173
129,1,PROPERTY,-90.66168672,38.6749173
130,1,PROPERTY,-90.66168672,38.6749173
131,1,PROPERTY,-90.66168672,38.6749173
132,1,PROPERTY,-90.66168672,38.6749173
133,1,PROPERTY,-90.66168672,38.6749173
134,1,PROPERTY,-90.66168672,38.6749173
135,1,PROPERTY,-90.66168672,38.6749173
136,1,PROPERTY,-90.66168672,38.6749173
137,1,PROPERTY,-90.66168672,38.6749173
138,1,PROPERTY,-90.66168672,38.6749173
139,1,PROPERTY,-90.66168672,38.6749173
140,1,PROPERTY,-90.66168672,38.6749173
141,1,PROPERTY,-90.66168672,38.6749173
142,1,PROPERTY,-90.66168672,38.6749173
143,1,PROPERTY,-90.66168672,38.6749173
144,1,PROPERTY,-90.66168672,38.6749173
145,1,PROPERTY,-90.66168672,38.6749173
146,1,PROPERTY,-90.66168672,38.6749173
147,1,PROPERTY,-90.66168672,38.6749173
148,1,PROPERTY,-90.66168672,38.6749173
149,1,PROPERTY,-90.66168672,38.6749173
150,1,PROPERTY,-90.66168672,38.6749173
151,1,PROPERTY,-90.66168672,38.6749173
152,1,PROPERTY,-90.66168672,38.6749173
153,1,PROPERTY,-90.66168672,38.6749173
154,1,PROPERTY,-90.66168672,38.6749173
155,1,PROPERTY,-90.66168672,38.6749173
156,1,PROPERTY,-90.66168672,38.6749173
157,1,PROPERTY,-90.66168672,38.6749173
158,1,PROPERTY,-90.66168672,38.6749173
159,1,PROPERTY,-90.66168672,38.6749173
160,1,PROPERTY,-90.66168672,38.6749173
161,1,PROPERTY,-90.66168672,38.6749173
162,1,PROPERTY,-90.66168672,38.6749173
163,1,PROPERTY,-90.66168672,38.6749173
164,1,PROPERTY,-90.66168672,38.6749173
165,1,PROPERTY,-90.66168672,38.6749173
166,1,PROPERTY,-90.661553,38.67483936
167,1,PROPERTY,-90.66154916,38.49693977
168,1,PROPERTY,-90.66134705,38.67473178
169,1,PROPERTY,-90.66134705,38.67473178
170,1,PROPERTY,-90.66134705,38.67473178
171,1,PROPERTY,-90.66113236,38.67463359
172,1,PROPERTY,-90.66113236,38.67463359
173,1,PROPERTY,-90.66077349,38.67450883
174,1,PROPERTY,-90.66077349,38.67450883
175,1,PROPERTY,-90.66044244,38.50184016
176,1,PROPERTY,-90.66017602,38.55385313
177,1,PROPERTY,-90.65893186,38.67364654
178,1,PROPERTY,-90.65854303,38.50444404
179,1,PROPERTY,-90.65800494,38.67168689
180,1,PROPERTY,-90.65800494,38.67168689
181,1,PROPERTY,-90.65668818,38.50586328
182,1,PROPERTY,-90.65668818,38.50586328
183,1,PROPERTY,-90.65668241,38.50486755
184,1,PROPERTY,-90.65668241,38.50486755
185,1,PROPERTY,-90.65668241,38.50486755
186,1,PROPERTY,-90.65668241,38.50486755
187,1,PROPERTY,-90.65668241,38.50486755
188,1,PROPERTY,-90.65668241,38.50486755
189,1,PROPERTY,-90.65668241,38.50486755
190,1,PROPERTY,-90.65668241,38.50486755
191,1,PROPERTY,-90.65668241,38.50486755
192,1,PROPERTY,-90.65668241,38.50486755
193,1,PROPERTY,-90.65668241,38.50486755
194,1,PROPERTY,-90.65668241,38.50486755
195,1,PROPERTY,-90.65668241,38.50486755
196,1,PROPERTY,-90.65668241,38.50486755
197,1,PROPERTY,-90.65630096,38.64190716
198,1,PROPERTY,-90.65571379,38.49135046
199,1,PROPERTY,-90.65547733,38.58278279
200,1,PROPERTY,-90.65547733,38.58278279
201,1,PROPERTY,-90.65396429,38.64205232
202,1,PROPERTY,-90.6537893,38.59779129
203,1,PROPERTY,-90.65377388,38.51540739
204,1,PROPERTY,-90.65279264,38.62022492
205,1,PROPERTY,-90.6522522,38.50431683
206,1,PROPERTY,-90.65217637,38.49236573
207,1,PERSON,-90.65212226,38.61331993
208,1,PERSON,-90.65212226,38.61331993
209,1,PROPERTY,-90.6514568,38.61627495
210,1,PROPERTY,-90.65044931,38.49340465
211,1,PROPERTY,-90.64859716,38.65232243
212,1,PROPERTY,-90.64848194,38.61954714
213,1,PROPERTY,-90.64845831,38.50588835
214,1,PROPERTY,-90.64845289,38.60468636
215,1,PROPERTY,-90.64800093,38.49024089
216,1,PROPERTY,-90.64726281,38.51317948
217,1,PROPERTY,-90.64535311,38.67509351
218,1,PROPERTY,-90.64535311,38.67509351
219,1,PROPERTY,-90.64535311,38.67509351
